Title,URL,Severity
Open WebUI Vulnerable to a Session Fixation Attack,https://github.com/advisories/GHSA-43g4-487m-5q6m,High
PyTorch Lightning path traversal vulnerability,https://github.com/advisories/GHSA-4cv3-v7pv-rfhf,Critical
Open Neural Network Exchange (ONNX) Path Traversal Vulnerability,https://github.com/advisories/GHSA-h36j-8vv3-cj52,High
Open WebUI Cross-Site Request Forgery (CSRF) Vulnerability,https://github.com/advisories/GHSA-85jc-8h5p-8vw8,High
PyTorch deserialization vulnerability,https://github.com/advisories/GHSA-4vmg-rw8f-92f9,Critical
TorchServe script references S3 bucket without ensuring ownership or confirming accessibility,https://github.com/advisories/GHSA-xx7c-j7h3-vjcq,Moderate
Flask-CORS improper regex path matching vulnerability,https://github.com/advisories/GHSA-7rxf-gvfg-47g4,Moderate
Aim External Control of File Name or Path vulnerability,https://github.com/advisories/GHSA-75px-35p4-qq6h,Critical
LoLLMS Code Injection vulnerability,https://github.com/advisories/GHSA-jccx-m9v4-9hwh,High
MLflow Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-q3gw-8236-5jw4,Moderate
Flask-CORS allows for inconsistent CORS matching,https://github.com/advisories/GHSA-8vgw-p6qm-5gr7,Moderate
Open WebUI Allows Admin Deletion via API Endpoint,https://github.com/advisories/GHSA-pqwr-phvv-v49f,High
Open WebUI Allows Arbitrary File Reading and Deletion,https://github.com/advisories/GHSA-jrhc-9qg9-4qfq,High
H2O Vulnerable to Arbitrary File Overwrite via File Export,https://github.com/advisories/GHSA-47f6-5p7h-5f3h,High
LiteLLM Vulnerable to Remote Code Execution (RCE),https://github.com/advisories/GHSA-53gh-p8jc-7rg8,High
Gunicorn HTTP Request/Response Smuggling vulnerability,https://github.com/advisories/GHSA-hc5x-x2vx-497g,High
Open WebUI Vulnerable to Cross-Site Scripting (XSS) via Chat File Upload,https://github.com/advisories/GHSA-j274-m559-cj4j,Moderate
Aim Path Traversal vulnerability,https://github.com/advisories/GHSA-mrvr-7493-pfq3,High
H2O Vulnerable to Execution of Arbitrary Files,https://github.com/advisories/GHSA-m37h-8r48-2cxj,Moderate
Flask-CORS vulnerable to Improper Handling of Case Sensitivity,https://github.com/advisories/GHSA-43qf-4rqw-9q2g,Moderate
Open WebUI Allows Arbitrary File Write via the `download_model` Endpoint,https://github.com/advisories/GHSA-3p9q-7w63-3f8q,Moderate
Open WebUI Allows Arbitrary File Write via the `/models/upload` Endpoint,https://github.com/advisories/GHSA-crh6-pj8c-xrhc,Moderate
Aim Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-35p3-6j45-prwm,High
Open WebUI has vulnerable dependency on starlette via fastapi,https://github.com/advisories/GHSA-w466-2wfc-8g58,High
LlamaIndex Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-jvpf-xf32-2w4q,Moderate
LlamaIndex vulnerable to Creation of Temporary File in Directory with Insecure Permissions,https://github.com/advisories/GHSA-jmgm-gx32-vp4w,High
LlamaIndex SQL Injection vulnerability,https://github.com/advisories/GHSA-x48g-hm9c-ww42,Critical
Aim Relative Path Traversal vulnerability,https://github.com/advisories/GHSA-p6x3-v6g3-7557,Moderate
Open WebUI Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-g3mx-83mp-3rwc,High
Open WebUI Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-chf7-q7m5-fq92,High
FastChat Server-Side Request Forgery vulnerability,https://github.com/advisories/GHSA-g44m-hpf4-vmrp,High
BentoML vulnerable to Uncontrolled Resource Consumption,https://github.com/advisories/GHSA-hh3j-9m59-p8vc,High
imaginAIry Denial of Service (DoS) vulnerability,https://github.com/advisories/GHSA-x5xw-28w4-53j5,High
Aim vulnerable to Synchronous Access of Remote Resource without Timeout,https://github.com/advisories/GHSA-v5pj-jrpv-h6g2,Moderate
LlamaIndex Improper Handling of Exceptional Conditions vulnerability,https://github.com/advisories/GHSA-j3wr-m6xh-64hg,High
Transformers Regular Expression Denial of Service (ReDoS) vulnerability,https://github.com/advisories/GHSA-6rvg-6v2m-4j46,Moderate
BentoML Open Redirect vulnerability,https://github.com/advisories/GHSA-564p-rx2q-4c8v,Moderate
Feast Cross-Origin Resource Sharing vulnerability,https://github.com/advisories/GHSA-wxpc-2674-rxvw,High
Gradio Path Traversal vulnerability,https://github.com/advisories/GHSA-prpg-p95c-32fv,Moderate
FastChat Server-Side Request Forgery vulnerability,https://github.com/advisories/GHSA-h254-g997-685c,High
Kedro allows Remote Code Execution by Pulling Micro Packages,https://github.com/advisories/GHSA-rm69-wvpv-r2w7,High
GluonCV Arbitrary File Write via TarSlip,https://github.com/advisories/GHSA-m724-hqmc-ggpx,High
FastChat Denial of Service vulnerability,https://github.com/advisories/GHSA-79rp-v9rm-gxm8,High
FastChat Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-qg86-f892-m4hj,High
langchain-core allows unauthorized users to read arbitrary files from the host file system,https://github.com/advisories/GHSA-5chr-fjjv-38qv,Moderate
InvokeAI Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-ffh5-w482-c7m5,High
FastChat open redirect vulnerability,https://github.com/advisories/GHSA-77cj-rv5x-v6r2,Moderate
vLLM Deserialization of Untrusted Data vulnerability,https://github.com/advisories/GHSA-5vqr-wprc-cpp7,Critical
InvokeAI Arbitrary File Deletion vulnerability,https://github.com/advisories/GHSA-227r-w5j2-6243,Critical
DB-GPT vulnerable to Cross-Site Request Forgery,https://github.com/advisories/GHSA-3248-f932-c76p,High
HyperLPR Denial of Service vulnerability,https://github.com/advisories/GHSA-cg4p-5qfm-pjjj,High
InvokeAI has Denial of Service (DoS) vulnerability in `/api/v1/images/upload`,https://github.com/advisories/GHSA-6f6x-f56q-5xgv,High
DB-GPT Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-6xgj-c5fx-5v57,High
DB-GPT Path Traversal vulnerability,https://github.com/advisories/GHSA-8pwp-phcg-h36g,High
DB-GPT Absolute Path Traversal vulnerability,https://github.com/advisories/GHSA-hhw5-29f6-hf4x,Critical
DB-GPT Absolute Path Traversal in knowledge/{space_name}/document/upload,https://github.com/advisories/GHSA-j9g7-mqhh-9hxf,Critical
DB-GPT Arbitrary File Write vulnerability,https://github.com/advisories/GHSA-7gj6-22m4-qfhx,Critical
DB-GPT vulnerable to Arbitrary File Upload with Path Traversal,https://github.com/advisories/GHSA-3xq5-x4fj-rff7,Critical
Gradio Vulnerable to Arbitrary File Deletion,https://github.com/advisories/GHSA-pgfv-gvc5-prfg,High
H2O Vulnerable to Denial of Service (DoS) via `/3/Parse` Endpoint,https://github.com/advisories/GHSA-wwr9-4gmr-xvq9,High
H2O Vulnerable to Denial of Service (DoS) via `/3/ParseSetup` Endpoint,https://github.com/advisories/GHSA-7qq7-pvm9-x8rf,High
H2O Vulnerable to Denial of Service (DoS) and File Write,https://github.com/advisories/GHSA-wjpv-64v2-2qpq,High
Gradio Vulnerable to Denial of Service (DoS) via Crafted HTTP Request,https://github.com/advisories/GHSA-rvgh-pr46-x7gg,High
H2O Deserialization of Untrusted Data Vulnerability,https://github.com/advisories/GHSA-h7xg-cmpp-48hf,Critical
Gradio Vulnerable to Denial of Service (DoS) via Crafted Zip Bomb,https://github.com/advisories/GHSA-7xmc-vhjp-qv5q,High
Dask Vulnerable to Command Injection,https://github.com/advisories/GHSA-xqgj-r6xv-9cw4,Critical
Aim Vulnerable to Denial of Service (DoS),https://github.com/advisories/GHSA-fx47-jpv9-7hxr,High
LiteLLM Vulnerable to Denial of Service (DoS),https://github.com/advisories/GHSA-gw2q-qw9j-rgv7,High
Horovod Vulnerable to Command Injection,https://github.com/advisories/GHSA-mrhh-3ggq-23p2,Critical
vLLM Allows Remote Code Execution via Mooncake Integration,https://github.com/advisories/GHSA-x3m8-f7g5-qhm7,Critical
vLLM denial of service via outlines unbounded cache on disk,https://github.com/advisories/GHSA-mgrm-fgjv-mhv8,Moderate
Apache Airflow MySQL Provider is Vulnerable to SQL Injection,https://github.com/advisories/GHSA-hhm6-jjf4-6pm3,Moderate
PostQuantum-Feldman-VSS'S Dependency Vulnerability in gmpy2 Leading to Interpreter Crash,https://github.com/advisories/GHSA-v432-7f47-9g94,High
Qiskit allows arbitrary code execution decoding QPY format versions < 13,https://github.com/advisories/GHSA-6m2c-76ff-6vrf,Critical
Post-Quantum Secure Feldman's Verifiable Secret Sharing has Inadequate Fault Injection Countermeasures in `secure_redundant_execution`,https://github.com/advisories/GHSA-r8gc-qc2c-c7vh,Moderate
Post-Quantum Secure Feldman's Verifiable Secret Sharing has Timing Side-Channels in Matrix Operations,https://github.com/advisories/GHSA-q65w-fg65-79f4,Moderate
Duplicate Advisory: Qiskit allows arbitrary code execution decoding QPY format versions < 13,https://github.com/advisories/GHSA-3pwp-2fqj-6g2p,Critical
XPixelGroup BasicSR Command Injection,https://github.com/advisories/GHSA-86w8-vhw6-q9qq,Moderate
Rembg CORS misconfiguration,https://github.com/advisories/GHSA-59qh-fmm7-3g9q,High
Rembg allows SSRF via /api/remove,https://github.com/advisories/GHSA-r5gx-c49x-h878,Moderate
Arbitrary Code Execution via Crafted Keras Config for Model Loading,https://github.com/advisories/GHSA-48g7-3x6r-xfhp,High
Azure PromptFlow remote code execution related to Jinja templates,https://github.com/advisories/GHSA-gprr-v9f2-px3c,Moderate
Duplicate Advisory: Keras arbitrary code execution vulnerability,https://github.com/advisories/GHSA-5478-v2w6-c6q7,High
Zip Exploit Crashes Picklescan But Not PyTorch,https://github.com/advisories/GHSA-7q5r-7gvp-wc82,Moderate
Zip Flag Bit Exploit Crashes Picklescan But Not PyTorch,https://github.com/advisories/GHSA-w8jq-xcqf-f792,Moderate
PlotAI eval vulnerability,https://github.com/advisories/GHSA-2hmp-5wqg-f24h,Critical
Duplicate Advisory: Zip Flag Bit Exploit Crashes Picklescan But Not PyTorch,https://github.com/advisories/GHSA-2fh4-gpch-vqv4,Moderate
Duplicate Advisory: Zip Exploit Crashes Picklescan But Not PyTorch,https://github.com/advisories/GHSA-w6mr-mj53-x258,Moderate
Django vulnerable to Allocation of Resources Without Limits or Throttling,https://github.com/advisories/GHSA-p3fp-8748-vqfq,Moderate
ray vulnerable to Insertion of Sensitive Information into Log File,https://github.com/advisories/GHSA-w4rh-fgx7-q63m,Moderate
Spacy-LLM Server-Side Template Injection (SSTI) vulnerability,https://github.com/advisories/GHSA-793v-gxfp-9q9h,High
Jinja2 vulnerable to sandbox breakout through attr filter selecting format method,https://github.com/advisories/GHSA-cpwx-vrp4-4pq7,Moderate
dmlc/dgl Vulnerable to Remote Code Execution by Pickle Deserialization via rpc.recv_request(),https://github.com/advisories/GHSA-3x5x-fw77-g54c,High
Duplicate Advisory: Picklescan Allows Remote Code Execution via Malicious Pickle File Bypassing Static Analysis,https://github.com/advisories/GHSA-hw34-rqc5-h2gm,Moderate
Picklescan Allows Remote Code Execution via Malicious Pickle File Bypassing Static Analysis,https://github.com/advisories/GHSA-655q-fx9r-782v,Moderate
PyTorch Model Files Can Bypass Pickle Scanners via Unexpected Pickle Extensions,https://github.com/advisories/GHSA-769v-p64c-89pr,Moderate
CodeChecker open redirect when URL contains multiple slashes after the product name,https://github.com/advisories/GHSA-g839-x3p3-g5fm,Moderate
Duplicate Advisory: Remote Code Execution via Malicious Pickle File Bypassing Static Analysis,https://github.com/advisories/GHSA-vr75-hjh9-7fr6,Moderate
Flask-AppBuilder Observable Response Discrepancy,https://github.com/advisories/GHSA-p8q5-cvwx-wvwp,Low
"Spotipy's cache file, containing spotify auth token, is created with overly broad permissions",https://github.com/advisories/GHSA-pwhh-q4h6-w599,High
copyparty renders unsanitized filenames as HTML when user uploads empty files,https://github.com/advisories/GHSA-m2jw-cj8v-937r,Low
LTI JupyterHub Authenticator does not properly validate JWT Signature,https://github.com/advisories/GHSA-mcgx-2gcr-p3hp,Critical
Exiv2 allows Use After Free,https://github.com/advisories/GHSA-38h4-fx85-qcx7,Moderate
Vyper has a double eval in For List Iter,https://github.com/advisories/GHSA-h33q-mhmp-8p67,Low
AugAssign evaluation order causing OOB write within the object in Vyper,https://github.com/advisories/GHSA-4w26-8p97-f4jp,Low
Vyper's sqrt doesn't define rounding behavior,https://github.com/advisories/GHSA-2p94-8669-xg86,Low
Malciously crafted QPY files can allows Remote Attackers to Cause Denial of Service in Qiskit,https://github.com/advisories/GHSA-fpmr-m242-xm7x,High
Home Assistant does not correctly validate SSL for outgoing requests in core and used libs,https://github.com/advisories/GHSA-m3pm-rpgg-5wj6,High
Keylime registrar is vulnerable to Denial-of-Service attack when updated to version 7.12.0,https://github.com/advisories/GHSA-9jxq-5x44-gx23,Moderate
Label Studio allows Server-Side Request Forgery in the S3 Storage Endpoint,https://github.com/advisories/GHSA-m238-fmcw-wh58,High
Label Studio allows Cross-Site Scripting (XSS) via GET request to `/projects/upload-example` endpoint,https://github.com/advisories/GHSA-wpq5-3366-mqw4,Moderate
Label Studio has a Path Traversal Vulnerability via image Field,https://github.com/advisories/GHSA-rgv9-w7jp-m23g,High
Withdrawn Advisory: Command injection in Ray,https://github.com/advisories/GHSA-xg2h-7cxj-3gvh,Critical
Vulnerable OpenSSL included in cryptography wheels,https://github.com/advisories/GHSA-79v4-65xg-pq4g,Low
PandasAI interactive prompt function Remote Code Execution (RCE),https://github.com/advisories/GHSA-vv2h-2w3q-3fx7,Critical
xml2rfc has file inclusion irregularities,https://github.com/advisories/GHSA-432c-wxpg-m4q3,Moderate
vLLM uses Python 3.12 built-in hash() which leads to predictable hash collisions in prefix cache,https://github.com/advisories/GHSA-rm76-4mrf-v9r8,Low
Mitmweb API Authentication Bypass Using Proxy Server,https://github.com/advisories/GHSA-wg33-5h85-7q5p,High
MobSF Local Privilege Escalation,https://github.com/advisories/GHSA-79f6-p65j-3m2m,High
MobSF Partial Denial of Service (DoS),https://github.com/advisories/GHSA-jrm8-xgf3-fwqr,High
MobSF Stored Cross-Site Scripting (XSS),https://github.com/advisories/GHSA-cxqq-w3x5-7ph3,High
CKAN has an XSS vector in user uploaded images in group/org and user profiles,https://github.com/advisories/GHSA-7pq5-qcp6-mcww,High
"Django-Unicorn Class Pollution Vulnerability, Leading to XSS, DoS and Authentication Bypass",https://github.com/advisories/GHSA-g9wf-5777-gq43,Critical
snowflake-connector-python vulnerable to SQL Injection in write_pandas,https://github.com/advisories/GHSA-2vpq-fh52-j3wv,High
snowflake-connector-python vulnerable to insecure deserialization of the OCSP response cache,https://github.com/advisories/GHSA-m4f6-vcj4-w5mx,Moderate
snowflake-connector-python vulnerable to insecure cache files permissions,https://github.com/advisories/GHSA-r2x6-cjg7-8r43,Moderate
vllm: Malicious model to RCE by torch.load in hf_model_weights_iterator,https://github.com/advisories/GHSA-rh4j-5rhw-hr54,High
uniapi version 1.0.7 contained an information harvesting script.,https://github.com/advisories/GHSA-gvvw-rr8m-fj76,High
ASTEVAL Allows Maliciously Crafted Format Strings to Lead to Sandbox Escape,https://github.com/advisories/GHSA-3wwr-3g9f-9gc7,High
ASTEVAL Allows Malicious Tampering of Exposed AST Nodes Leads to Sandbox Escape,https://github.com/advisories/GHSA-vp47-9734-prjw,High
try/except* clauses could allow bypass RestrictedPython via type confusion bug in the CPython interpreter,https://github.com/advisories/GHSA-gmj9-h825-chq2,High
sniff_csv provides filesystem access even when enable_external_access is disabled in duckdb,https://github.com/advisories/GHSA-w2gf-jxc9-pf2q,High
Cross-Site Request Forgery in CodeChecker API,https://github.com/advisories/GHSA-f8c8-4pm7-w885,High
nbgrader's `frame-ancestors: self` grants all users access to formgrader,https://github.com/advisories/GHSA-fcr8-4r9f-r66m,High
Indico Insecure Access,https://github.com/advisories/GHSA-3wg7-r7q5-r2jf,Moderate
Sentry's improper authentication on SAML SSO process allows user impersonation,https://github.com/advisories/GHSA-7pq6-v88g-wf3w,Critical
Django has a potential denial-of-service vulnerability in IPv6 validation,https://github.com/advisories/GHSA-qcgg-j2x8-h9g8,Moderate
Vyper Does Not Check the Success of Certain Precompile Calls,https://github.com/advisories/GHSA-vgf2-gvx8-xwc3,Low
Gradio Blocked Path ACL Bypass Vulnerability,https://github.com/advisories/GHSA-j2jg-fq62-7c3h,Critical
Rasa Allows Remote Code Execution via Remote Model Loading,https://github.com/advisories/GHSA-cpv4-ggrr-7j9v,Critical
Strawberry GraphQL has type resolution vulnerability in node interface that allows potential data leakage through incorrect type resolution,https://github.com/advisories/GHSA-5xh2-23cc-5jc6,Low
pgAdmin has Incorrect Default Permissions,https://github.com/advisories/GHSA-7w6r-748w-mh52,High
GHSL-2024-288: SickChill open redirect in login,https://github.com/advisories/GHSA-6gf2-ffq8-gcww,Low
Composio Command Execution vulnerability,https://github.com/advisories/GHSA-8h93-28hg-fj84,Moderate
keras Path Traversal vulnerability,https://github.com/advisories/GHSA-cjgq-5qmw-rcj6,Moderate
Apache Airflow Fab Provider Insufficient Session Expiration vulnerability,https://github.com/advisories/GHSA-8863-4qmg-fr45,Low
NiceGUI On Air authentication issue,https://github.com/advisories/GHSA-v6jv-p6r8-j78w,High
khoj has an IDOR in subscription management allows unauthorized subscription modifications,https://github.com/advisories/GHSA-hq4h-w933-jm6c,Moderate
Letta (previously MemGPT) incorrect access control vulnerability,https://github.com/advisories/GHSA-7p2g-2vxc-5g55,High
changedetection.io Vulnerable to Improper Input Validation Leading to LFR/Path Traversal,https://github.com/advisories/GHSA-j5vv-6wjg-cfr8,High
python-sql SQL injection vulnerability,https://github.com/advisories/GHSA-pq9p-pc3p-9hm4,Moderate
Amazon Redshift Python Connector vulnerable to SQL Injection,https://github.com/advisories/GHSA-8gc2-vq6m-rwjw,High
Koji Cross-site Scripting,https://github.com/advisories/GHSA-g2vg-8hfg-79vj,Moderate
Jinja has a sandbox breakout through indirect reference to format method,https://github.com/advisories/GHSA-q2x7-8rv6-6q7h,Moderate
Jinja has a sandbox breakout through malicious filenames,https://github.com/advisories/GHSA-gmj6-6f8f-6699,Moderate
"pyrage vulnerable to malicious plugin names, recipients, or identities causing arbitrary binary execution",https://github.com/advisories/GHSA-47h8-jmp3-9f28,High
PGHoard Path Traversal vulnerability,https://github.com/advisories/GHSA-m9hc-vxjj-4x6q,Moderate
D-Tale allows Remote Code Execution through the Custom Filter Input,https://github.com/advisories/GHSA-832w-fhmw-w4f4,Moderate
djoser Authentication Bypass,https://github.com/advisories/GHSA-v49p-m6gh-747c,High
Apache Superset: SQLLab Improper readonly query validation allows unauthorized write access,https://github.com/advisories/GHSA-787v-v9vq-4rgv,High
python-libarchive directory traversal,https://github.com/advisories/GHSA-75mx-hw5q-pvx3,High
sigstore has insufficient validation of integration timestamp during verification,https://github.com/advisories/GHSA-hhfg-fwrw-87w7,Low
luigi Arbitrary File Write via Archive Extraction (Zip Slip),https://github.com/advisories/GHSA-8qch-vj6m-2694,High
unstructured XML External Entity (XXE),https://github.com/advisories/GHSA-32r8-54hf-c9p3,Moderate
Apache Superset: Lower privilege users are able to create Role when FAB_ADD_SECURITY_API is enabled,https://github.com/advisories/GHSA-35fc-9hrj-3585,High
Apache Superset: Error verbosity exposes metadata in analytics databases,https://github.com/advisories/GHSA-2cx9-54hp-r698,Moderate
"Apache Superset: Improper SQL authorisation, parse not checking for specific postgres functions",https://github.com/advisories/GHSA-92qf-8gh3-gwcm,Low
"Django SQL injection in HasKey(lhs, rhs) on Oracle",https://github.com/advisories/GHSA-m9g8-fxxm-xg86,High
Django denial-of-service in django.utils.html.strip_tags(),https://github.com/advisories/GHSA-8498-2h75-472j,Moderate
pyspider Cross-Site Request Forgery (CSRF) via the Flask endpoints,https://github.com/advisories/GHSA-pqj8-xhcx-prxm,High
"Mobile Security Framework (MobSF) Stored Cross-Site Scripting Vulnerability in ""Diff or Compare"" Functionality",https://github.com/advisories/GHSA-5jc6-h9w7-jm3p,Moderate
Synapse Matrix has a partial room state leak via Sliding Sync,https://github.com/advisories/GHSA-56w4-5538-8v8h,Moderate
"Synapse can be forced to thumbnail unexpected file formats, invoking external, potentially untrustworthy decoders",https://github.com/advisories/GHSA-vp6v-whfm-rv3g,High
Synapse allows a a malformed invite to break the invitee's `/sync`,https://github.com/advisories/GHSA-f3r3-h2mq-hx2h,High
Synapse allows unsupported content types to lead to memory exhaustion,https://github.com/advisories/GHSA-rfq8-j7rh-8hf2,High
Synapse's unauthenticated writes to the media repository allow planting of problematic content,https://github.com/advisories/GHSA-gjgr-7834-rhxr,Moderate
Synapse denial of service through media disk space consumption,https://github.com/advisories/GHSA-4mhg-xv73-xq2x,High
Denial of service (DoS) via deformation `multipart/form-data` boundary,https://github.com/advisories/GHSA-59g5-xgcq-4qw3,High
"Python package ""zhmcclient"" stores passwords in clear text in its HMC and API logs",https://github.com/advisories/GHSA-p57h-3cmc-xpjq,Moderate
PyJWT Issuer field partial matches allowed,https://github.com/advisories/GHSA-75c5-xw7c-p5pm,Low
check-jsonschema default caching for remote schemas allows for cache confusion,https://github.com/advisories/GHSA-q6mv-284r-mp36,Moderate
pyspider Cross-site Scripting vulnerability,https://github.com/advisories/GHSA-x4x5-jx9j-mmv7,Moderate
Password Policy Bypass Vulnerability in Fides Webserver User Accept Invite API,https://github.com/advisories/GHSA-v7vm-rhmg-8j2r,Low
aiocpa contains credential harvesting code,https://github.com/advisories/GHSA-486g-47cc-8wxf,High
MLflow's excessive directory permissions allow local privilege escalation,https://github.com/advisories/GHSA-qpgc-w4mg-6v92,High
libre-chat Path Traversal vulnerability,https://github.com/advisories/GHSA-3864-rp2m-2qfj,Moderate
